title,year,genre,duration,country,language,director,writer,production_company,actors,avg_vote,votes,budget,usa_gross_income,worldwide_gross_income,metascore,reviews_from_users,reviews_from_critics
The Disappearance of Alice Creed,2009,"Crime, Thriller",100,UK,English,J Blakeson,J Blakeson,CinemaNX,"Martin Compston, Eddie Marsan, Gemma Arterton",6.7,24044,800000,166980,867714,65.0,107.0,211.0
La doppia ora,2009,"Crime, Drama, Mystery",95,Italy,"Italian, Spanish",Giuseppe Capotondi,"Alessandro Fabbri, Ludovica Rampoldi",Indigo Film,"Kseniya Rappoport, Filippo Timi, Antonia Truppo, Gaetano Bruno, Fausto Russo Alesi, Michele Di Mauro, Lorenzo Gioielli, Lidia Vitale, Giampiero Judica, Roberto Accornero, Lucia Poli, Giorgio Colangeli, Deborah Bernuzzi, Barbara Braconi, Federica Cassini",6.7,3535,4300000,1514942,2715751,72.0,22.0,150.0
The Company You Keep,2012,"Drama, Thriller",125,"USA, Canada",English,Robert Redford,"Lem Dobbs, Neil Gordon",Voltage Pictures,"Robert Redford, Shia LaBeouf, Julie Christie, Susan Sarandon, Nick Nolte, Chris Cooper, Terrence Howard, Stanley Tucci, Richard Jenkins, Anna Kendrick, Brendan Gleeson, Brit Marling, Sam Elliott, Stephen Root, Jackie Evancho",6.4,30144,2000000,5133027,19633027,57.0,124.0,228.0
The Adjustment Bureau,2011,"Romance, Sci-Fi, Thriller",106,USA,English,George Nolfi,"George Nolfi, Philip K. Dick",Universal Pictures,"Matt Damon, Emily Blunt, Lisa Thoreson, Florence Kastriner, Michael Kelly, Phyllis MacBryde, Natalie Carter, Chuck Scarborough, Jon Stewart, Gregory P. Hitchen, Darrell Lenormand, Michael Bloomberg, Kar, RJ Konner, Susan D. Michaels",7.0,231548,50200000,62495645,127869379,60.0,448.0,420.0
Cop Out,2010,"Action, Comedy, Crime",107,USA,"English, Spanish",Kevin Smith,"Robb Cullen, Mark Cullen",Warner Bros.,"Bruce Willis, Tracy Morgan, Juan Carlos Hernández, Cory Fernandez, Jason Hurt, Jeff Lima, Sean Cullen, Kevin Pollak, Adam Brody, Guillermo Díaz, Alberto Bonilla, Robinson Aponte, Jeremy Dash, Mando Alvarado, Michelle Trachtenberg",5.6,82574,30000000,44875481,55583804,31.0,188.0,205.0
I Can Do Bad All by Myself,2009,"Comedy, Drama",113,USA,English,Tyler Perry,"Tyler Perry, Tyler Perry",The Tyler Perry Company,"Tyler Perry, Taraji P. Henson, Adam Rodriguez, Brian White, Hope Olaide Wilson, Kwesi Boakye, Frederick Siglar, Gladys Knight, Mary J. Blige, Marvin Winans, Eric Mendenhall, David Paulus, Randall Taylor, Tess Malis Kincaid, Joseph Taylor",4.4,9280,13000000,51733921,51733921,55.0,60.0,34.0
The Other Guys,2010,"Action, Comedy, Crime",107,USA,"English, Ukrainian",Adam McKay,"Adam McKay, Chris Henchy",Columbia Pictures,"Will Ferrell, Derek Jeter, Mark Wahlberg, Eva Mendes, Michael Keaton, Larnell Stovall, Jalil Jay Lynch, Roy T. Anderson, Ray Stevenson, Samuel L. Jackson, Andrew Secunda, Sara Chase, Dwayne Johnson, David Gideon, Joshua Church",6.6,226487,100000000,119219978,170432927,64.0,356.0,274.0
Suicide Squad,2016,"Action, Adventure, Fantasy",123,USA,"English, Japanese, Spanish",David Ayer,David Ayer,Atlas Entertainment,"Will Smith, Jaime FitzSimons, Ike Barinholtz, Margot Robbie, Christopher Dyson, Bambadjan Bamba, Viola Davis, Ted Whittall, David Harbour, Robin Atkin Downes, Robert B. Kennedy, Billy Otis, Shailyn Pierre-Dixon, Jared Leto, James McGowan",6.0,554092,175000000,325100054,746846894,40.0,2140.0,679.0
Total Recall,2012,"Action, Adventure, Sci-Fi",118,"USA, Canada","English, Ukrainian",Len Wiseman,"Kurt Wimmer, Mark Bomback",Total Recall,"Colin Farrell, Kate Beckinsale, Jessica Biel, Bryan Cranston, Bokeem Woodbine, Bill Nighy, John Cho, Will Yun Lee, Milton Barnes, James McGowan, Natalie Lisinska, Michael Therriault, Stephen MacDonald, Mishael Morgan, LinLyn Lue",6.3,231450,125000000,58877969,198467168,43.0,582.0,413.0
Downsizing,2017,"Drama, Sci-Fi",135,"USA, Norway","English, Spanish, Norwegian, French, Korean, Greek, Vietnamese",Alexander Payne,"Alexander Payne, Jim Taylor",Paramount Pictures,"Matt Damon, Christoph Waltz, Hong Chau, Kristen Wiig, Rolf Lassgård, Ingjerd Egeberg, Udo Kier, Søren Pilmark, Jason Sudeikis, Maribeth Monroe, Jayne Houdyshell, Phil Reeves, James Van Der Beek, Alison J. Palmer, Tim Driscoll",5.7,83118,68000000,24449754,55003890,63.0,804.0,356.0
