bom_id,title,total_gross,theaters,release_date,year
rl4133389825,Little Miss Marker,6321392,472,1980-03-21,1980
rl1919321601,Oh Heavenly Dog,6216067,114,1980-07-11,1980
rl3863971329,Divine Madness,5318098,127,1980-09-26,1980
rl3159655937,In God We Trust (or Gimme That Prime Time Religion),5215015,653,1980-09-26,1980
rl3344336385,He Knows You're Alone,4875436,279,1980-08-29,1980
rl1768719873,Roadie,4226370,549,1980-06-13,1980
rl1716815361,Gloria,4059673,1,1980-10-01,1980
rl4251813377,Resurrection,3910019,417,1980-09-26,1980
rl1515816449,Hide in Plain Sight,3806930,325,1980-03-21,1980
rl3780609537,Guyana: Cult of the Damned,3798102,748,1980-01-25,1980
rl3380119041,When Time Ran Out...,3763988,677,1980-03-28,1980
rl1683195393,ffolkes,2993772,398,1980-04-18,1980
rl3949037057,Loving Couples,2806659,592,1980-10-24,1980
rl576423425,The Idolmaker,2625716,171,1980-11-14,1980
rl844400129,Gilda Live,2261507,59,1980-03-28,1980
rl2809890305,Windows,2128395,46,1980-01-18,1980
rl4032660993,Just Tell Me What You Want,2086905,49,1980-02-08,1980
rl1702594049,Why Would I Lie?,1175855,56,1980-08-08,1980
rl4233528833,Heart Beat,954046,18,1980-01-18,1980
rl2556855809,One-Trick Pony,843215,30,1980-10-03,1980
rl1131709953,"Those Lips, Those Eyes",804713,51,1980-08-15,1980
rl879789569,A Small Circle of Friends,766760,19,1980-03-12,1980
rl4084368897,Superman II,108185706,1878,1981-06-19,1981
rl1685227009,Stripes,85297000,1074,1981-06-26,1981
rl4752897,The Cannonball Run,72179579,1692,1981-06-19,1981
rl4135224833,For Your Eyes Only,54812802,952,1981-06-26,1981
rl2572322305,The Four Seasons,50427646,623,1981-05-22,1981
rl1783662081,Excalibur,34967437,692,1981-04-10,1981
rl2572781057,History of the World: Part I,31672907,484,1981-06-12,1981
rl3846800897,Bustin' Loose,31261269,828,1981-05-22,1981
rl3412428289,The Great Muppet Caper,31206251,73,1981-06-26,1981
rl2219935233,Endless Love,31184024,574,1981-07-17,1981
rl2336458241,An American Werewolf in London,30565292,870,1981-08-21,1981
rl3310847489,Halloween II,25533818,1211,1981-10-30,1981
rl1749452289,Body Heat,24058838,34,1981-08-28,1981
rl4083844609,Raiders of the Lost Ark,212222025,1078,1981-06-12,1981
rl3478291969,Friday the 13th Part 2,21722776,1350,1981-04-30,1981
rl1600554497,The Final Conflict,20471382,918,1981-03-20,1981
rl2589689345,The Incredible Shrinking Woman,20259961,789,1981-01-30,1981
rl2759230977,Under the Rainbow,18826490,488,1981-07-31,1981
rl57247233,Outland,17374595,331,1981-05-22,1981
rl3611985409,Continental Divide,15578237,864,1981-09-18,1981
rl224888321,Nighthawks,14905359,659,1981-04-10,1981
rl1229882881,Dragonslayer,14110013,868,1981-06-26,1981
rl593397249,The Legend of the Lone Ranger,12617845,1018,1981-05-22,1981
rl1967490561,Back Roads,11809387,805,1981-03-13,1981
rl3397092865,Wolfen,10626725,967,1981-07-24,1981
rl4185163265,Time Bandits,42365581,821,1981-11-06,1981
rl4033119745,Neighbors,29916207,1387,1981-12-18,1981
