bom_id,imdb_id,title,actor_1,actor_2,actor_3,actor_4,director,writer,producer,cinematographer,editor,production_designer,composer
rl2759034369,tt0076759,Star Wars: Episode IV - A New Hope (1977),Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,George Lucas,George Lucas,Gary Kurtz|Rick McCallum,Gilbert Taylor,Richard Chew|T.M. Christopher|Paul Hirsch|Marcia Lucas,John Barry,John Williams
rl3561784833,tt0075925,The Deep (1977),Jacqueline Bisset,Nick Nolte,Dick Anthony Williams,Robert Shaw,Peter Yates,Peter Benchley|Peter Benchley|Tracy Keenan Wynn,Peter Guber,Christopher Challis,David Berlatsky,Anthony Masters,John Barry
rl2004059649,tt0076752,The Spy Who Loved Me (1977),Roger Moore,Barbara Bach,Curd Jürgens,Richard Kiel,Lewis Gilbert,Christopher Wood|Richard Maibaum|Ian Fleming,Albert R. Broccoli,Claude Renoir,John Glen,Ken Adam,Marvin Hamlisch
rl2137425409,tt0076489,"Oh, God! (1977)",John Denver,George Burns,Teri Garr,Donald Pleasence,Carl Reiner,Larry Gelbart|Avery Corman,Jerry Weintraub,Victor J. Kemper,Bud Molin,NONE,Jack Elliott
rl1582335489,tt0076009,Exorcist II: The Heretic (1977),Richard Burton,Linda Blair,Louise Fletcher,Max von Sydow,John Boorman|Rospo Pallenberg,William Goodhart|William Peter Blatty|Rospo Pallenberg,John Boorman|Richard Lederer,William A. Fraker,Tom Priestley,Richard Macdonald,Ennio Morricone
rl611747329,tt0076843,The Turning Point (1977),Anne Bancroft,Shirley MacLaine,Mikhail Baryshnikov,Tom Skerritt,Herbert Ross,Arthur Laurents,Arthur Laurents|Herbert Ross,Robert Surtees,William Reynolds,Albert Brenner,NONE
rl3093399041,tt0076327,Looking for Mr. Goodbar (1977),Diane Keaton,Richard Gere,Tuesday Weld,William Atherton,Richard Brooks,Judith Rossner|Richard Brooks,Freddie Fields,William A. Fraker,George Grenville,NONE,Artie Kane
rl2926544385,tt0076666,Saturday Night Fever (1977),John Travolta,Karen Lynn Gorney,Barry Miller,Joseph Cali,John Badham,Nik Cohn|Norman Wexler,Robert Stigwood,Ralf D. Bode,David Rawlins,Charles Bailey,Barry Gibb|Maurice Gibb|Robin Gibb
rl340428289,tt0075860,Close Encounters of the Third Kind (1977),Richard Dreyfuss,François Truffaut,Teri Garr,Melinda Dillon,Steven Spielberg,Steven Spielberg|Hal Barwood|Jerry Belson|John Hill|Matthew Robbins,Julia Phillips|Michael Phillips,Vilmos Zsigmond,Michael Kahn,Joe Alves,John Williams
rl2052556289,tt0077631,Grease (1978),John Travolta,Olivia Newton-John,Stockard Channing,Jeff Conaway,Randal Kleiser,Jim Jacobs|Warren Casey|Bronte Woodard|Allan Carr,Allan Carr|Robert Stigwood,Bill Butler,John F. Burnett,Philip M. Jefferies,NONE
rl994215425,tt0077975,National Lampoon's Animal House (1978),John Belushi,Karen Allen,Tom Hulce,Stephen Furst,John Landis,Harold Ramis|Douglas Kenney|Chris Miller,Ivan Reitman|Matty Simmons,Charles Correll,George Folsey Jr.,NONE,Elmer Bernstein
rl105940481,tt0077523,Every Which Way but Loose (1978),Clint Eastwood,Sondra Locke,Geoffrey Lewis,"""Beverly DAngelo""",James Fargo,Jeremy Joe Kronsberg,Robert Daley,Rexford L. Metz,Joel Cox|Ferris Webster,NONE,NONE
rl3629549057,tt0077663,Heaven Can Wait (1978),Warren Beatty,James Mason,Julie Christie,Jack Warden,Warren Beatty|Buck Henry,Elaine May|Warren Beatty|Harry Segall|Robert Towne,Warren Beatty,William A. Fraker,Robert C. Jones|Don Zimmerman,Paul Sylbert,Dave Grusin
rl3562702337,tt0077766,Jaws 2 (1978),Roy Scheider,Lorraine Gary,Murray Hamilton,Joseph Mascolo,Jeannot Szwarc,Peter Benchley|Carl Gottlieb|Howard Sackler,David Brown|Richard D. Zanuck,Michael C. Butler,Steve Potter|Arthur Schmidt|Neil Travis,Joe Alves,John Williams
rl4050814465,tt0078346,Superman (1978),Christopher Reeve,Margot Kidder,Gene Hackman,Marlon Brando,Richard Donner,Jerry Siegel|Joe Shuster|Mario Puzo|Mario Puzo|David Newman|Leslie Newman|Robert Benton|Tom Mankiewicz,Pierre Spengler,Geoffrey Unsworth,Stuart Baird|Michael Ellis,John Barry,John Williams
rl4066477569,tt0077869,The Lord of the Rings (1978),Christopher Guard,William Squire,Michael Scholes,John Hurt,Ralph Bakshi,Chris Conkling|Peter S. Beagle|J.R.R. Tolkien,Saul Zaentz,Timothy Galfas,Donald W. Ernst|Peter Kirby,NONE,Leonard Rosenman
rl1583777281,tt0077394,Omen II: Damien (1978),William Holden,Lee Grant,Jonathan Scott-Taylor,Robert Foxworth,Don Taylor|Mike Hodges,Harvey Bernhard|David Seltzer|Stanley Mann|Mike Hodges,Harvey Bernhard,Bill Butler,Robert Brown,Fred Harpman|Philip M. Jefferies,Jerry Goldsmith
rl106595841,tt0077745,Invasion of the Body Snatchers (1978),Donald Sutherland,Brooke Adams,Jeff Goldblum,Veronica Cartwright,Philip Kaufman,W.D. Richter|Jack Finney,Robert H. Solo,Michael Chapman,Douglas Stewart,Charles Rosen,Denny Zeitlin
rl3544614401,tt0077272,Brass Target (1978),Sophia Loren,John Cassavetes,Max von Sydow,George Kennedy,John Hough,Frederick Nolan|Alvin Boretz,Arthur Lewis,Tony Imi,David Lane,Rolf Zehetbauer,Laurence Rosenthal
rl2202240513,tt0078767,The Amityville Horror (1979),James Brolin,Margot Kidder,Rod Steiger,Don Stroud,Stuart Rosenberg,Sandor Stern|Jay Anson|George Lutz|Kathy Lutz,Elliot Geisinger|Ronald Saland,Fred J. Koenekamp,Robert Brown,NONE,Lalo Schifrin
rl2993456641,tt0079817,Rocky II (1979),Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers,Sylvester Stallone,Sylvester Stallone,Robert Chartoff|Irwin Winkler,Bill Butler,Stanford C. Allen,NONE,Bill Conti
rl2977138177,tt0079945,Star Trek: The Motion Picture (1979),William Shatner,Leonard Nimoy,DeForest Kelley,James Doohan,Robert Wise,Gene Roddenberry|Harold Livingston|Alan Dean Foster,David C. Fein|Gene Roddenberry,Richard H. Kline,Todd C. Ramsay,Harold Michelson,Jerry Goldsmith
rl3443557889,tt0078748,Alien (1979),Sigourney Weaver,Tom Skerritt,John Hurt,Veronica Cartwright,Ridley Scott,"""Dan OBannon""|""Dan OBannon""|Ronald Shusett",Gordon Carroll|David Giler|Walter Hill,Derek Vanlint,David Crowther|Terry Rawlings|Peter Weatherley,Michael Seymour,Jerry Goldsmith
rl1816299009,tt0078788,Apocalypse Now (1979),Martin Sheen,Marlon Brando,Robert Duvall,Frederic Forrest,Francis Ford Coppola,John Milius|Francis Ford Coppola|Michael Herr|Joseph Conrad,Kim Aubry|Francis Ford Coppola,Vittorio Storaro,Lisa Fruchtman|Gerald B. Greenberg|Walter Murch,Dean Tavoularis,Carmine Coppola|Francis Ford Coppola
rl960595457,tt0078721,10 (1979),Dudley Moore,Bo Derek,Julie Andrews,Robert Webber,Blake Edwards,Blake Edwards,Tony Adams|Blake Edwards,Frank Stanley,Ralph E. Winters,Rodger Maus,Henry Mancini
rl878544385,tt0079367,The Jerk (1979),Steve Martin,Bernadette Peters,Catlin Adams,Mabel King,Carl Reiner,Steve Martin|Carl Gottlieb|Michael Elias|Steve Martin|Carl Gottlieb,William E. McEuen|David V. Picker,Victor J. Kemper,Bud Molin|Ron Spang,Jack T. Collis,Jack Elliott
rl1516602881,tt0079574,Moonraker (1979),Roger Moore,Lois Chiles,Michael Lonsdale,Richard Kiel,Lewis Gilbert,Christopher Wood|Ian Fleming|Gerry Anderson|Tony Barwick,Albert R. Broccoli,Jean Tournier,John Glen,Ken Adam,John Barry
rl3479406081,tt0079540,Meatballs (1979),Bill Murray,Harvey Atkin,Kate Lynch,Russ Banham,Ivan Reitman,Len Blum|Daniel Goldberg|Janis Allen|Harold Ramis,Daniel Goldberg,Donald Wilder,Debra Karen,NONE,Elmer Bernstein
rl3461449217,tt0079116,Escape from Alcatraz (1979),Clint Eastwood,Patrick McGoohan,Roberts Blossom,Jack Thibeau,Don Siegel,J. Campbell Bruce|Richard Tuggle,Don Siegel,Bruce Surtees,Ferris Webster,Allen E. Smith,Jerry Fielding
rl1046709761,tt0079522,Manhattan (1979),Woody Allen,Diane Keaton,Mariel Hemingway,Michael Murphy,Woody Allen,Woody Allen|Marshall Brickman,Charles H. Joffe,Gordon Willis,Susan E. Morse,Mel Bourne,NONE
rl390301185,tt0078754,All That Jazz (1979),Roy Scheider,Jessica Lange,Ann Reinking,Leland Palmer,Bob Fosse,Robert Alan Aurthur|Bob Fosse,Robert Alan Aurthur,Giuseppe Rotunno,Alan Heim,Philip Rosenberg,NONE
rl2034337281,tt0078723,1941 (1979),John Belushi,Dan Aykroyd,Treat Williams,Nancy Allen,Steven Spielberg,Robert Zemeckis|Bob Gale|Robert Zemeckis|Bob Gale|John Milius,Buzz Feitshans,William A. Fraker,Michael Kahn,Dean Edward Mitzner,John Williams
rl3242755585,tt0078950,The Champ (1979),Jon Voight,Faye Dunaway,Ricky Schroder,Jack Warden,Franco Zeffirelli,Frances Marion|Walter Newman,Dyson Lovell,Fred J. Koenekamp,Michael J. Sheridan,Herman A. Blumenthal,Dave Grusin
rl4050421249,tt0079826,The Rose (1979),Bette Midler,Alan Bates,Frederic Forrest,Harry Dean Stanton,Mark Rydell,Bill Kerby|Bo Goldman|Bill Kerby|Michael Cimino|Marvin Worth,Aaron Russo|Marvin Worth,Vilmos Zsigmond,"""Carroll Timothy OMeara""|Robert L. Wolfe",Richard Macdonald,NONE
rl410551809,tt0080120,The Warriors (1979),Michael Beck,James Remar,Dorsey Wright,Brian Tyler,Walter Hill,Sol Yurick|David Shaber|Walter Hill,Laurent Bouzereau|Freeman A. Davies|Lawrence Gordon|Walter Hill,Andrew Laszlo,Freeman A. Davies|David Holden|Susan E. Morse|Billy Weber,NONE,Barry De Vorzon
rl2422703617,tt0079638,Norma Rae (1979),Sally Field,Beau Bridges,Ron Leibman,Pat Hingle,Martin Ritt,Irving Ravetch|Harriet Frank Jr.,Tamara Asseyev|Alexandra Rose,John A. Alonzo,Sidney Levin,Walter Scott Herndon,David Shire
rl3327952385,tt0077288,La Cage aux Folles (1978),Ugo Tognazzi,Michel Serrault,Claire Maurier,Rémi Laurent,Édouard Molinaro,Jean Poiret|Francis Veber|Édouard Molinaro|Marcello Danon|Jean Poiret,Marcello Danon,Armando Nannuzzi,Monique Isnardon|Robert Isnardon,NONE,Ennio Morricone
rl1565427201,tt0079073,Dracula (1979),Frank Langella,Laurence Olivier,Donald Pleasence,Kate Nelligan,John Badham,W.D. Richter|Hamilton Deane|John L. Balderston|Bram Stoker,Walter Mirisch,Gilbert Taylor,John Bloom,Peter Murton,John Williams
rl2908653057,tt0079470,Monty Python's Life of Brian (1979),Graham Chapman,John Cleese,Michael Palin,Terry Gilliam,Terry Jones,Graham Chapman|John Cleese|Terry Gilliam|Eric Idle|Terry Jones|Michael Palin,John Goldstone,Peter Biziou,Julian Doyle,Terry Gilliam,Geoffrey Burgon
rl2890499585,tt0077278,Buck Rogers in the 25th Century (1979),Gil Gerard,Erin Gray,Pamela Hensley,Henry Silva,Daniel Haller,Glen A. Larson|Leslie Stevens|Philip Francis Nowlan,Richard Caffey,Frank Beascoechea,John J. Dumas|David Howe|William Martin,NONE,Stu Phillips
rl3477505537,tt0078902,Breaking Away (1979),Dennis Christopher,Dennis Quaid,Daniel Stern,Jackie Earle Haley,Peter Yates,Steve Tesich,Peter Yates,Matthew F. Leonetti,Cynthia Scheider,NONE,NONE
rl2691466753,tt0079822,Roller Boogie (1979),Linda Blair,Jim Bray,Beverly Garland,Roger Perry,Mark L. Lester,Barry Schneider|Irwin Yablans,Bruce Cohn Curtis,Dean Cundey,"""Byron Buzz Brandt""|Edilberto Cruz|M. Edward Salier",NONE,Bob Esty|Craig Safan
rl1482130945,tt0079240,The Great Train Robbery (1978),Sean Connery,Donald Sutherland,Lesley-Anne Down,Alan Webb,Michael Crichton,Michael Crichton|Michael Crichton,John Foreman,Geoffrey Unsworth,David Bretherton|Peter Elliott,Maurice Carter,Jerry Goldsmith
rl3999041025,tt0079417,Kramer vs. Kramer (1979),Dustin Hoffman,Meryl Streep,Jane Alexander,Justin Henry,Robert Benton,Avery Corman|Robert Benton,Stanley R. Jaffe,Néstor Almendros,Gerald B. Greenberg,Paul Sylbert,NONE
rl1733527041,tt0067093,Fiddler on the Roof (1971),Topol,Norma Crane,Leonard Frey,Molly Picon,Norman Jewison,Sholom Aleichem|Arnold Perl|Joseph Stein|Joseph Stein,Norman Jewison,Oswald Morris,Antony Gibbs|Robert Lawrence,Robert F. Boyle,Jerry Bock
rl743802369,tt0079180,The Frisco Kid (1979),Gene Wilder,Harrison Ford,Ramon Bieri,Val Bisoglio,Robert Aldrich,Michael Elias|Frank Shaw,Mace Neufeld,Robert B. Hauser,Jack Horger|Irving Rosenblum|Maury Winetrobe,Terence Marsh,Frank De Vol
rl3931342337,tt0079154,The Fish That Saved Pittsburgh (1979),Julius Erving,Jonathan Winters,Meadowlark Lemon,Jack Kehoe,Gilbert Moses,David Dashev|Jaison Starkes|Edmond Stevens|Gary Stromberg,David Dashev|Gary Stromberg,Frank Stanley,Frank Mazzola|Peter Zinner,NONE,Thom Bell
rl3714811393,tt0079753,The Prisoner of Zenda (1979),Peter Sellers,Lynne Frederick,Lionel Jeffries,Elke Sommer,Richard Quine,Dick Clement|Ian La Frenais|Anthony Hope|Edward E. Rose,Walter Mirisch,Arthur Ibbetson,"""Byron Buzz Brandt""",John J. Lloyd,Henry Mancini
rl2219673089,tt0079013,Cuba (1979),Sean Connery,Brooke Adams,Jack Weston,Hector Elizondo,Richard Lester,Charles Wood,Arlene Sellers|Alex Winitsky,David Watkin,John Victor Smith,Philip Harrison|Gil Parrondo,Patrick Williams
rl3645474305,tt0078919,Butch and Sundance: The Early Days (1979),William Katt,Tom Berenger,Jeff Corey,John Schuck,Richard Lester,Allan Burns|William Goldman,Steven Bach|Gabriel Katzka,László Kovács,George Trirogoff,Brian Eatwell,Patrick Williams
rl1666680321,tt0079239,The Great Santini (1979),Robert Duvall,Blythe Danner,"""Michael OKeefe""",Lisa Jane Persky,Lewis John Carlino,Pat Conroy|Lewis John Carlino|Herman Raucher,Charles A. Pratt,Ralph Woolsey,Houseley Stevenson Jr.,Jack Poplin,Elmer Bernstein
rl2304869889,tt0079486,Lost and Found (1979),George Segal,Glenda Jackson,Maureen Stapleton,Hollis McLaren,Melvin Frank,Melvin Frank|Jack Rose,Melvin Frank,Douglas Slocombe,Bill Butler,Trevor Williams,John Cameron
rl2658764289,tt0080103,Voices (1979),Michael Ontkean,Amy Irving,Alex Rocco,Barry Miller,Robert Markowitz,John Herzfeld,Joe Wizan,Alan Metzger,Danford B. Greene,NONE,Jimmy Webb
rl946636289,tt0079806,Rich Kids (1979),Trini Alvarado,Jeremy Levy,Kathryn Walker,John Lithgow,Robert M. Young,Judith Ross,George W. George|Michael Hausman,Ralf D. Bode,Edward Beyer,NONE,Craig Doerge
rl1113556481,tt0079437,Last Embrace (1979),Roy Scheider,Janet Margolin,John Glover,Sam Levene,Jonathan Demme,Murray Teigh Bloom|David Shaber,Michael Taylor|Dan Wigutow,Tak Fujimoto,Barry Malkin,Charles Rosen,Miklós Rózsa
rl3983115777,tt0079700,The Passage (1979),Anthony Quinn,James Mason,Malcolm McDowell,Patricia Neal,J. Lee Thompson,Bruce Nicolaysen|Bruce Nicolaysen|Stephen Oliver,John Quested,Michael Reed,Alan Strachan,NONE,Michael J. Lewis
rl2775811585,tt0080684,Star Wars: Episode V - The Empire Strikes Back (1980),Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,Irvin Kershner,Leigh Brackett|Lawrence Kasdan|George Lucas,Gary Kurtz|Rick McCallum,Peter Suschitzky,T.M. Christopher|Paul Hirsch,Norman Reynolds,John Williams
rl876643841,tt0080319,9 to 5 (1980),Jane Fonda,Lily Tomlin,Dolly Parton,Dabney Coleman,Colin Higgins,Patricia Resnick|Colin Higgins|Patricia Resnick,Bruce Gilbert,Reynaldo Villalobos,Pembroke J. Herring,Dean Edward Mitzner,Charles Fox
rl3312682497,tt0081562,Stir Crazy (1980),Gene Wilder,Richard Pryor,Georg Stanford Brown,JoBeth Williams,Sidney Poitier,Bruce Jay Friedman|Charles Blackwell,Hannah Weinstein,Fred Schuler,Harry Keller,Alfred Sweeney,Tom Scott
rl1916962305,tt0080377,Any Which Way You Can (1980),Clint Eastwood,Sondra Locke,Geoffrey Lewis,William Smith,Buddy Van Horn,Stanford Sherman|Jeremy Joe Kronsberg,Fritz Manes,David Worth,Ron Spang|Ferris Webster,William J. Creber,NONE
rl3513484801,tt0081375,Private Benjamin (1980),Goldie Hawn,Eileen Brennan,Armand Assante,Robert Webber,Howard Zieff,Nancy Meyers|Charles Shyer|Harvey Miller,Nancy Meyers|Harvey Miller|Charles Shyer,David M. Walsh,Sheldon Kahn,Robert F. Boyle|Jeffrey Howard,Bill Conti
rl1883932161,tt0080549,Coal Miner's Daughter (1980),Sissy Spacek,Tommy Lee Jones,Levon Helm,Phyllis Boyens-Liptak,Michael Apted,Thomas Rickman|Loretta Lynn|George Vecsey,Bernard Schwartz,Ralf D. Bode,Arthur Schmidt,John W. Corso,NONE
rl460359169,tt0081529,Smokey and the Bandit II (1980),Burt Reynolds,Jackie Gleason,Jerry Reed,Dom DeLuise,Hal Needham,Hal Needham|Robert L. Levy|Jerry Belson|Brock Yates|Michael Kane,Hank Moonjean,Michael C. Butler,Donn Cambern|William D. Gordean,Henry Bumstead,NONE
rl289834497,tt0080455,The Blues Brothers (1980),John Belushi,Dan Aykroyd,Cab Calloway,John Candy,John Landis,Dan Aykroyd|John Landis,Robert K. Weiss,Stephen M. Katz,George Folsey Jr.,John J. Lloyd,NONE
rl3378939393,tt0081283,Ordinary People (1980),Donald Sutherland,Mary Tyler Moore,Judd Hirsch,Timothy Hutton,Robert Redford,Judith Guest|Alvin Sargent|Nancy Dowd,Ronald L. Schwary,John Bailey,Jeff Kanew,NONE,NONE
rl2003535361,tt0081353,Popeye (1980),Robin Williams,Shelley Duvall,Ray Walston,Paul Dooley,Robert Altman,Jules Feiffer|E.C. Segar,Robert Evans,Giuseppe Rotunno,John W. Holmes|David A. Simmons,Wolf Kroeger,NONE
rl3312354817,tt0081505,The Shining (1980),Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers,Stanley Kubrick,Stephen King|Stanley Kubrick|Diane Johnson,Stanley Kubrick,John Alcott,Ray Lovejoy,Roy Walker,Wendy Carlos|Rachel Elkind
rl2018215425,tt0080520,Cheech and Chong's Next Movie (1980),Cheech Marin,Tommy Chong,Evelyn Guerrero,Betty Kennedy,Tommy Chong,Tommy Chong|Cheech Marin,Howard Brown,King Baggot|Nick McLean,Thomas K. Avildsen|Scott Conrad,Fred Harpman,Mark Davis
rl3326707201,tt0080487,Caddyshack (1980),Chevy Chase,Rodney Dangerfield,Bill Murray,Ted Knight,Harold Ramis,Brian Doyle-Murray|Harold Ramis|Douglas Kenney,Douglas Kenney,Stevan Larner,William C. Carruth,Stan Jolley,Johnny Mandel
rl3344074241,tt0080761,Friday the 13th (1980),Betsy Palmer,Adrienne King,Jeannine Taylor,Robbi Morgan,Sean S. Cunningham,Victor Miller|Ron Kurz,Sean S. Cunningham,Barry Abrams,Bill Freda,NONE,Harry Manfredini
rl3125380609,tt0080474,Brubaker (1980),Robert Redford,Yaphet Kotto,Morgan Freeman,Jane Alexander,Stuart Rosenberg,W.D. Richter|W.D. Richter|Arthur A. Ross|Thomas O. Murton|Joe Hyams|Bob Rafelson,Ron Silverman,Bruno Nuytten,Robert Brown,NONE,Lalo Schifrin
rl3411707393,tt0080948,The Jazz Singer (1980),Laurence Olivier,Neil Diamond,Lucie Arnaz,Catlin Adams,Richard Fleischer|Sidney J. Furie,Samson Raphaelson|Herbert Baker|Stephen H. Foreman,Jerry Leider,Isidore Mankofsky,Maury Winetrobe,Harry Horner,Leonard Rosenman
rl3461580289,tt0080745,Flash Gordon (1980),Sam J. Jones,Melody Anderson,Max von Sydow,Topol,Mike Hodges,Lorenzo Semple Jr.|Michael Allin|Alex Raymond,Dino De Laurentiis,Gilbert Taylor,Malcolm Cooke,Danilo Donati,Howard Blake|Queen
rl1497990657,tt0080472,Bronco Billy (1980),Clint Eastwood,Sondra Locke,Geoffrey Lewis,Scatman Crothers,Clint Eastwood,Dennis Hackin,Neal H. Dobrofsky|Dennis Hackin,David Worth,Joel Cox|Ferris Webster,NONE,NONE
rl4201285121,tt0081398,Raging Bull (1980),Robert De Niro,Cathy Moriarty,Joe Pesci,Frank Vincent,Martin Scorsese,Jake LaMotta|Joseph Carter|Peter Savage|Paul Schrader|Mardik Martin,Robert Chartoff|Irwin Winkler,Michael Chapman,Thelma Schoonmaker,NONE,NONE
rl1501201921,tt0081777,Xanadu (1980),Olivia Newton-John,Gene Kelly,Michael Beck,James Sloyan,Robert Greenwald,Richard Christian Danus|Marc Reid Rubel,Lawrence Gordon,Victor J. Kemper,Dennis Virkler,John W. Corso,Barry De Vorzon
rl3091432961,tt0080365,American Gigolo (1980),Richard Gere,Lauren Hutton,Hector Elizondo,Nina van Pallandt,Paul Schrader,Paul Schrader,Jerry Bruckheimer,John Bailey,Richard Halsey,NONE,Giorgio Moroder
rl392463873,tt0081207,My Bodyguard (1980),Chris Makepeace,Adam Baldwin,Matt Dillon,Paul Quandt,Tony Bill,Alan Ormsby,Don Devlin,Michael D. Margulies,Stu Linder,Jackson De Govia,Dave Grusin
rl4283467265,tt0080716,Fame (1980),Eddie Barth,Irene Cara,Lee Curreri,Laura Dean,Alan Parker,Christopher Gore,David De Silva|Alan Marshall,Michael Seresin,Gerry Hambling,Geoffrey Kirkland,Michael Gore
rl1749255681,tt0080360,Altered States (1980),William Hurt,Blair Brown,Bob Balaban,Charles Haid,Ken Russell,Paddy Chayefsky|Paddy Chayefsky,Howard Gottfried,Jordan Cronenweth,Eric Jenkins,Richard Macdonald,John Corigliano
rl1029211649,tt0080888,Honeysuckle Rose (1980),Willie Nelson,Dyan Cannon,Amy Irving,Slim Pickens,Jerry Schatzberg,Gösta Stevens|Gustaf Molander|Carol Sobieski|William D. Wittliff|John Binder,Gene Taft,Robby Müller,Aram Avakian|Norman Gay|Marc Laub|Evan A. Lottman,Joel Schiller,Richard Baskin|Willie Nelson
rl1952024065,tt0080863,Hero at Large (1980),John Ritter,Anne Archer,Bert Convy,Kevin McCarthy,Martin Davidson,AJ Carothers,Stephen J. Friedman,David M. Walsh,David Garfield,Albert Brenner,Patrick Williams
rl1398900225,tt0081071,The Long Riders (1980),David Carradine,Stacy Keach,Dennis Quaid,Keith Carradine,Walter Hill,Bill Bryden|Steven Smith|Stacy Keach|James Keach|Walter Hill,Tim Zinnemann,Ric Waite,Freeman A. Davies|David Holden,Jack T. Collis,Ry Cooder
rl1297778177,tt0080934,The Island (1980),Michael Caine,David Warner,Angela Punch McGregor,Frank Middlemass,Michael Ritchie,Peter Benchley|Peter Benchley,David Brown|Richard D. Zanuck,Henri Decaë,Richard A. Harris,Dale Hennesy,Ennio Morricone
rl3395782145,tt0081249,The Nude Bomb (1980),Don Adams,Andrea Howard,Sylvia Kristel,Rhonda Fleming,Clive Donner,Mel Brooks|Buck Henry|Arne Sultan|Bill Dana|Leonard Stern,Jennings Lang,Harry L. Wolf,Walter Hannemann|Phil Tucker,William H. Tuntke,Lalo Schifrin
rl1885767169,tt0081268,"Oh, God! Book II (1980)",George Burns,Suzanne Pleshette,David Birney,Louanne,Gilbert Cates,Josh Greenfeld|Josh Greenfeld|Hal Goldman|Fred S. Fox|Seaman Jacobs|Melissa Miller|Avery Corman,Gilbert Cates,Ralph Woolsey,Peter E. Berger,E. Preston Ames,Charles Fox
rl2370471425,tt0080556,The Competition (1980),Richard Dreyfuss,Amy Irving,Lee Remick,Sam Wanamaker,Joel Oliansky,Joel Oliansky|Joel Oliansky|William Sackheim,William Sackheim,Richard H. Kline,David E. Blewitt,Dale Hennesy,Lalo Schifrin
rl2105247233,tt0081751,Wholly Moses! (1980),Dudley Moore,Laraine Newman,James Coco,Paul Sand,Gary Weis,Guy Thomas,Freddie Fields,Frank Stanley,Sidney Levin,Dale Hennesy,Patrick Williams
rl3076490753,tt0081032,The Last Married Couple in America (1980),George Segal,Natalie Wood,Richard Benjamin,Valerie Harper,Gilbert Cates,John Herman Shaner,Edward S. Feldman|John Herman Shaner,Ralph Woolsey,Peter E. Berger,Gene Callahan,Charles Fox
rl4216555009,tt0080739,First Family (1980),Bob Newhart,Gilda Radner,Madeline Kahn,Richard Benjamin,Buck Henry,Buck Henry,Daniel Melnick,Fred J. Koenekamp,Stu Linder|Susan Martin,NONE,NONE
rl1565754881,tt0080731,The Fiendish Plot of Dr. Fu Manchu (1980),Peter Sellers,Helen Mirren,David Tomlinson,Sid Caesar,Piers Haggard|Richard Quine|Peter Sellers,Rudy Dochtermann|Jim Moloney|Sax Rohmer|Peter Sellers,Zev Braun|Leland Nolan,Jean Tournier,Russell Lloyd,Alexandre Trauner,Marc Wilkinson
rl1316193793,tt0081554,Stardust Memories (1980),Woody Allen,Charlotte Rampling,Jessica Harper,Marie-Christine Barrault,Woody Allen,Woody Allen,Robert Greenhut,Gordon Willis,Susan E. Morse,Mel Bourne,NONE
rl3195045377,tt0081534,Somewhere in Time (1980),Christopher Reeve,Jane Seymour,Christopher Plummer,Teresa Wright,Jeannot Szwarc,Richard Matheson|Richard Matheson,Stephen Deutsch,Isidore Mankofsky,Jeff Gourson,Seymour Klate,John Barry
rl1163036161,tt0080754,The Formula (1980),George C. Scott,Marlon Brando,Marthe Keller,John Gielgud,John G. Avildsen,Steve Shagan|Steve Shagan,Steve Shagan,James Crabe,John Carter,Herman A. Blumenthal,Bill Conti
rl591889921,tt0080436,Battle Creek Brawl (1980),Jackie Chan,Kristine DeBell,José Ferrer,Mako,Robert Clouse,Robert Clouse|Robert Clouse|Fred Weintraub,Raymond Chow|Fred Weintraub,Robert C. Jessup,Peter Cheung|George Grenville,NONE,Lalo Schifrin
rl608536065,tt0080402,The Awakening (1980),Charlton Heston,Susannah York,Jill Townsend,Stephanie Zimbalist,Mike Newell,Allan Scott|Chris Bryant|Clive Exton|Bram Stoker,Robert H. Solo,Jack Cardiff,Terry Rawlings,Michael Stringer,Claude Bolling
rl2421327361,tt0080756,Foxes (1980),Jodie Foster,Cherie Currie,Marilyn Kagan,Kandice Stroh,Adrian Lyne,Gerald Ayres,Gerald Ayres|David Puttnam,Leon Bijou|Michael Seresin,James Coblentz,NONE,Giorgio Moroder
rl3262678529,tt0081748,Where the Buffalo Roam (1980),Peter Boyle,Bill Murray,Bruno Kirby,Rene Auberjonois,Art Linson,Hunter S. Thompson|John Kaye,Art Linson,Tak Fujimoto,Christopher Greenbury,Richard Sawyer,Neil Young
rl2220131841,tt0080808,The Gong Show Movie (1980),Chuck Barris,Robin Altman,"""Brian OMullin""",Jack Bernardi,Chuck Barris,Chuck Barris|Robert Downey Sr.,Budd Granoff,Richard C. Glouner,Jacqueline Cambas|James Mitchell|Sam Vitale,NONE,Milton Delugg
rl3177547265,tt0081184,Motel Hell (1980),Rory Calhoun,Paul Linke,Nancy Parsons,Nina Axelrod,Kevin Connor,Robert Jaffe|Steven-Charles Jaffe|Tim Tuchrello|Frank Cotolo,Robert Jaffe|Steven-Charles Jaffe,Thomas Del Ruth,Bernard Gribble,NONE,Lance Rubin
