bom_id,imdb_id,title,actor_1,actor_2,actor_3,actor_4,director,writer,producer,cinematographer,editor,production_designer,composer
rl1263306241,tt0105810,Where the Day Takes You (1992),Dermot Mulroney,Robert Knepper,Laura San Giacomo,Sean Astin,Marc Rocco,Michael Hitchcock|Kurt Voss|Marc Rocco,Paul Hertzberg,King Baggot,Russell Livingstone,Kirk M. Petruccelli,Mark Morgan
rl3194586625,tt0105089,The Panama Deception (1992),Elizabeth Montgomery,Carlos Cantú,Diviana Ingravallo,Abraham Alvarez,Barbara Trent,David Kasper,Joanne Doroshow|David Kasper|Nico Panigutti|Barbara Trent,Manuel Becker|Michael Dobo,David Kasper,NONE,Chuck Wild
rl2051311105,tt0101416,Becoming Colette (1991),Klaus Maria Brandauer,Mathilda May,Virginia Madsen,Paul Rhys,Danny Huston,Ruth Graham,Heinz Bibo|Peer J. Oppenheimer,Wolfgang Treu,Roberto Silvi|Peter Taylor,Serge Douy|Jan Schlubach,John Scott
rl1396934145,tt0099028,American Dream (1990),Jesse Jackson,Juan Munoz,Ray Rogers,NONE,Barbara Kopple|Cathy Caplan|Thomas Haneke|Lawrence Silk,NONE,Arthur Cohn|Barbara Kopple,Peter Gilbert|Kevin Keating|Hart Perry|Mark Petersson|Mathieu Roberts,Cathy Caplan|Thomas Haneke|Lawrence Silk,Mark Stuart Lane,Michael Small
rl442140161,tt0104503,In the Soup (1992),Steve Buscemi,Seymour Cassel,Jennifer Beals,Pat Moya,Alexandre Rockwell,Sollace Mitchell|Alexandre Rockwell,Hank Blumenthal|Pascal Caucheteux|Jim Stark,Phil Parmet,Dana Congdon,Mark Friedberg,Mader
rl3427632641,tt0104237,Damage (1992),Jeremy Irons,Juliette Binoche,Miranda Richardson,Rupert Graves,Louis Malle,David Hare|Josephine Hart,Louis Malle,Peter Biziou,John Bloom,Brian Morris,Zbigniew Preisner
rl2186315265,tt0104225,Falling from Grace (1992),John Mellencamp,Mariel Hemingway,Claude Akins,Dub Taylor,John Mellencamp,Larry McMurtry,Harry Sandler,Victor Hammer,Dennis Virkler,George Corsillo,John Mellencamp
rl2541127169,tt0105691,Under Suspicion (1991),Liam Neeson,Laura San Giacomo,Kenneth Cranham,"""Maggie ONeill""",Simon Moore,Simon Moore,Brian Eastman,Vernon Layton,Tariq Anwar,Tim Hutchinson,Christopher Gunning
rl3379922433,tt0105562,Terminal Bliss (1990),Tim Owen,Luke Perry,Estee Chandler,Sonia Curtis,Jordan Alan,Jordan Alan,Brian Cox,Gregory Smith,Bruce Sinofsky,Catherine Tirr,Frank Becker
rl2068940289,tt0102969,The Efficiency Expert (1992),Anthony Hopkins,Ben Mendelsohn,Alwyn Kurts,Bruno Lawrence,Mark Joffe,Max Dann|Andrew Knight,Richard Brennan|Timothy White,Ellery Ryan,Nicholas Beauman,Chris Kennedy,Ricky Fataar
rl1751221761,tt0102328,London Kills Me (1991),Justin Chadwick,Steven Mackintosh,Fiona Shaw,Brad Dourif,Hanif Kureishi,Hanif Kureishi,Tim Bevan|Graham Bradstreet,Edward Lachman,Jon Gregory,Stuart Walker,Sarah Sarhandi|Mark Springer
rl692815361,tt0103939,Chaplin (1992),Robert Downey Jr.,Geraldine Chaplin,Paul Rhys,John Thaw,Richard Attenborough,David Robinson|Charles Chaplin|Diana Hawkins|William Boyd|Bryan Forbes|William Goldman,Richard Attenborough|Mario Kassar,Sven Nykvist,Anne V. Coates,Stuart Craig,John Barry
rl1835828737,tt0105267,Roadside Prophets (1992),John Doe,Adam Horovitz,David Anthony Marshall,Judyth Thurman,Abbe Wool,Abbe Wool,Peter McCarthy|David Swinson,Tom Richmond,Nancy Richardson,J. Rae Fox,Dan Wool
rl206210561,tt0101595,Close My Eyes (1991),Alan Rickman,Clive Owen,Saskia Reeves,Karl Johnson,Stephen Poliakoff,Stephen Poliakoff,Thérèse Pickard,Witold Stok,Michael Parkinson,Luciana Arrighi,Michael Gibbs
rl2406385153,tt0102898,Shakes the Clown (1991),Bobcat Goldthwait,Julie Brown,Bruce Baum,Steve Bean,Bobcat Goldthwait,Bobcat Goldthwait,Paul Colichman|Ann Luly,Bobby Bukowski|Elliot Davis,J. Kathleen Gibson,Pamela Woodbridge,Tom Scott
rl1667073537,tt0104567,Johnny Suede (1991),Brad Pitt,Richard Boes,Cheryl Costa,Michael Luciano,Tom DiCillo,Tom DiCillo,Yoram Mandel|Ruth Waldburger,Joe DeSalvo,Geraldine Peroni,Patricia Woodbridge,Jim Farmer
rl558466561,tt0096978,Brenda Starr (1989),Brooke Shields,Timothy Dalton,Tony Peck,Diana Scarwid,Robert Ellis Miller,Noreen Stone|James D. Buchanan|Noreen Stone|James D. Buchanan|Delia Ephron|Dale Messick,Myron A. Hyman,Freddie Francis|Peter Stein,Mark Melnick,John J. Lloyd,Johnny Mandel
rl1853326849,tt0103110,Tous les matins du monde (1991),Gérard Depardieu,Jean-Pierre Marielle,Anne Brochet,Guillaume Depardieu,Alain Corneau,Pascal Quignard|Alain Corneau|Pascal Quignard|Pascal Quignard,Jean-Louis Livi,Yves Angelo,Marie-Josèphe Yoyotte,Bernard Vézat,Jordi Savall
rl843679233,tt0103877,Breaking the Rules (1992),Shawn Phelan,Jackey Vinson,Marty Belafsky,Jason Bateman,Neal Israel,Paul W. Shapiro,Jonathan D. Krane,James Hayman,Tom Walls,NONE,David Kitay
rl2052294145,tt0104244,Feed (1992),Jacques Barzaghi,Jerry Brown,Pat Buchanan,George Bush,Kevin Rafferty|James Ridgeway,NONE,Kevin Rafferty|James Ridgeway,NONE,Sarah Durham,NONE,NONE
rl2135197185,tt0103784,Bed & Breakfast (1991),Roger Moore,Talia Shire,Colleen Dewhurst,Nina Siemaszko,Robert Ellis Miller,Cindy Myers,Jack Schwartzman,Peter Shea|Peter Sova,John F. Burnett|Richard Leeman,Suzanne Cavedon,David Shire
